Id,Needs_NSC_Review__c,NSC_Review_Reason__c
003f400000KvxdcAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxfjAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxdWAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000Kvxe6AAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxVQAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxHKAAZ,True,<Warning>Attending enrollment not confirmed by NSC: Pacific University (Aug 2012 start); <Warning>Transferred out enrollment not confirmed by NSC: College of San Mateo (Jun 2013 start)
003f400000KvxKBAAZ,True,<Warning>Transferred out enrollment not confirmed by NSC: University of California-Berkeley (Jan 2014 start)
003f400000KvxQUAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxWiAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2016 start)
003f400000KvxQAAAZ,True,<Changed>Date discrepancy (Database has 08/24/15-05/11/18 and NSC has 01/08/18-05/11/18): University of Hawaii at Manoa
003f400000KvxfyAAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxUsAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxFfAAJ,True,<Warning>Graduated enrollment not confirmed by NSC: University of Colorado Boulder (Aug 2011 start)
003f400000KvxVGAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVbAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxHQAAZ,True,<Warning>Withdrew enrollment not confirmed by NSC: San Francisco State University (Aug 2012 start)
003f400000KvxWaAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2016 start); <Added>NSC indicates previously unreported enrollment (Transferred out):  (Jan 2018 start)
003f400000KvxeFAAR,True,<Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Sep 2017 start)
003f400000KvxWRAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxdMAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxR5AAJ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2016 start)
003f400000KvxR4AAJ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2015 start)
003f400000KvxRMAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxV2AAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxgXAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
