Id,Needs_NSC_Review__c,NSC_Review_Reason__c,Index (for debugging)
003f400000KvxWUAAZ,True,<Added>NSC indicates previously unreported enrollment (Graduated):  (Aug 2016 start),4031
003f400000KvxKRAAZ,True,<Changed>New unreported left college: Iowa State University (May 2018 start),2742
003f400000KvxKRAAZ,True,<Changed>New unreported left college: Michigan Technological University (May 2018 start),2741
003f400000KvxV7AAJ,True,<Changed>New unreported left college: De Anza College (Jan 2019 start),286
003f400000KvxgRAAR,True,<Not changed>NSC indicates still attending (currently Transferred out): San Jose State University (Aug 2017 start currently 09/20/2019 end),3708
003f400000KvxgRAAR,True,<Changed>New unreported left college: Mission College (May 2018 start),3707
003f400000KvxOYAAZ,True,<Changed>New unreported left college: Foothill College (Jan 2018 start),2687
003f400000KvxNPAAZ,True,<Changed>New unreported graduation (was Withdrew): University of California-Santa Cruz (Dec 2018),2255
003f400000TlTSzAAN,True,<Changed>New unreported left college: Notre Dame de Namur University (Aug 2018 start),3209
003f400000KvxOSAAZ,True,<Changed>New unreported left college: De Anza College (Jul 2018 start),844
003f400000KvxOrAAJ,True,<Changed>New unreported left college: Lane Community College (Sep 2018 start),2298
003f400000KvxWlAAJ,True,<Changed>New unreported left college: Foothill College (Jan 2019 start),1365
003f400000TlTRXAA3,True,<Changed>New unreported left college: University of California-Riverside (Sep 2018 start),1613
003f400000TlTKMAA3,True,<Changed>New unreported left college: Foothill College (Apr 2019 start),2640
003f400000TlTSVAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2019 start),2205
003f400000TlTLFAA3,True,<Changed>New unreported left college: San Francisco State University (Aug 2018 start),3975
003f400000KvxeaAAB,True,<Changed>New unreported left college: Skyline College (Aug 2017 start),2376
003f400000TlTOmAAN,True,<Not changed>NSC indicates still attending (currently Withdrew): Napa Valley College (Jan 2019 start currently 09/10/2020 end),1512
003f400000KvxVIAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2019 start),1962
003f400000KvxXGAAZ,True,<Changed>New unreported left college: San Jose State University (Aug 2017 start),321
003f400000KvxKDAAZ,True,<Changed>New unreported left college: Mission College (Jan 2019 start),782
